open,high,low,close,volume,symbol,date,ta
66.25,67.7,65.8,66.1,788318,ALE,2021-08-02,0
66.28,68.9,66.25,67.12,1159433,ALE,2021-08-03,0
67.0,67.41,66.1,66.53,662849,ALE,2021-08-04,0
67.63,67.72,63.3,64.19,2268288,ALE,2021-08-05,0
64.5,64.5,62.5,63.87,1859196,ALE,2021-08-06,0
63.75,64.3,63.2,64.15,923115,ALE,2021-08-09,0
64.15,64.45,62.88,62.88,1176235,ALE,2021-08-10,0
63.0,63.25,61.66,62.19,896542,ALE,2021-08-11,0
62.1,62.88,61.52,62.5,1051563,ALE,2021-08-12,0
62.6,64.0,62.34,63.81,842149,ALE,2021-08-13,0
63.86,63.98,61.87,62.0,792614,ALE,2021-08-16,0
62.3,63.74,62.05,63.37,1027652,ALE,2021-08-17,0
63.42,64.34,62.95,64.19,627757,ALE,2021-08-18,0
64.38,65.23,63.72,65.01,875960,ALE,2021-08-19,0
65.0,65.2,64.3,65.0,371254,ALE,2021-08-20,0
65.1,65.2,64.51,65.0,318720,ALE,2021-08-23,0
65.2,65.9,64.68,65.65,623158,ALE,2021-08-24,0
65.65,67.98,65.34,67.45,792214,ALE,2021-08-25,0
67.5,68.98,67.01,67.85,625375,ALE,2021-08-26,0
68.25,68.37,66.54,67.5,628515,ALE,2021-08-27,0
67.5,69.42,67.5,69.25,537827,ALE,2021-08-30,0
69.38,71.01,69.35,71.01,1377589,ALE,2021-08-31,0
71.0,72.75,70.72,72.75,1029314,ALE,2021-09-01,0
72.7,72.83,71.0,71.35,767552,ALE,2021-09-02,0
71.02,71.18,68.72,69.25,693674,ALE,2021-09-03,0
68.92,70.65,68.92,70.65,349274,ALE,2021-09-06,0
70.4,70.4,68.2,68.38,983360,ALE,2021-09-07,0
68.3,68.62,66.21,66.88,743911,ALE,2021-09-08,0
66.61,66.61,64.88,64.88,1124457,ALE,2021-09-09,0
65.0,65.4,63.46,63.46,1113796,ALE,2021-09-10,0
63.61,64.2,62.2,63.45,1096609,ALE,2021-09-13,0
63.35,63.35,62.1,62.1,1446049,ALE,2021-09-14,0
62.0,63.03,61.82,62.3,1623982,ALE,2021-09-15,0
62.58,63.23,62.3,62.72,1115320,ALE,2021-09-16,0
63.0,65.15,62.3,64.25,2784270,ALE,2021-09-17,0
63.8,63.98,62.0,62.37,980931,ALE,2021-09-20,0
62.38,63.4,62.11,62.42,1258552,ALE,2021-09-21,0
63.17,63.3,61.84,62.02,1237773,ALE,2021-09-22,0
62.46,62.64,61.64,61.9,1352873,ALE,2021-09-23,0
61.8,62.19,59.5,59.64,1224358,ALE,2021-09-24,0
59.6,60.81,59.5,59.83,1724518,ALE,2021-09-27,0
59.53,59.79,57.55,58.41,1786841,ALE,2021-09-28,0
58.2,59.37,57.85,58.47,1306420,ALE,2021-09-29,0
59.1,59.95,57.61,57.85,2041887,ALE,2021-09-30,0
57.9,59.0,57.19,58.09,1337982,ALE,2021-10-01,0
57.9,57.93,56.61,56.9,2176919,ALE,2021-10-04,0
56.9,57.61,56.32,56.59,2031084,ALE,2021-10-05,0
57.1,57.1,54.81,55.5,1312088,ALE,2021-10-06,0
55.51,55.84,54.36,55.15,1892994,ALE,2021-10-07,0
55.8,59.84,55.21,58.79,2758928,ALE,2021-10-08,0
59.0,59.88,57.2,58.25,1430284,ALE,2021-10-11,0
57.1,57.24,54.5,54.5,6633579,ALE,2021-10-12,0
55.0,55.19,51.34,51.5,8838503,ALE,2021-10-13,0
51.88,52.95,50.02,50.98,5409374,ALE,2021-10-14,0
51.15,51.26,49.42,50.69,3801772,ALE,2021-10-15,0
50.71,51.63,50.48,50.8,1898081,ALE,2021-10-18,0
50.76,50.76,49.055,49.295,3355915,ALE,2021-10-19,0
49.05,50.48,48.81,49.3,2023318,ALE,2021-10-20,0
49.3,50.5,48.65,49.48,2404902,ALE,2021-10-21,0
49.6,51.13,49.225,50.35,2007962,ALE,2021-10-22,0
50.16,51.3,48.58,48.67,1885046,ALE,2021-10-25,0
48.925,49.13,46.64,46.87,3643519,ALE,2021-10-26,0
46.8,48.23,45.53,47.36,4366924,ALE,2021-10-27,0
47.36,47.54,45.81,45.95,2208812,ALE,2021-10-28,0
45.96,46.32,44.615,45.12,2509683,ALE,2021-10-29,0
45.5,45.6,43.75,44.16,3853429,ALE,2021-11-02,0
44.175,44.86,43.31,43.5,2048406,ALE,2021-11-03,0
43.97,45.335,43.6,44.5,2878602,ALE,2021-11-04,0
48.5,50.19,46.56,49.25,9797926,ALE,2021-11-05,0
49.8,49.9,47.165,47.695,2804676,ALE,2021-11-08,0
48.0,48.8,42.34,42.34,7836602,ALE,2021-11-09,0
42.315,43.29,41.4,42.3,3731965,ALE,2021-11-10,0
43.0,43.1,40.25,40.8,5470764,ALE,2021-11-12,0
41.0,42.6,40.3,41.7,2555880,ALE,2021-11-15,0
41.95,44.155,41.8,44.03,2363926,ALE,2021-11-16,0
44.195,44.32,42.4,42.71,2886986,ALE,2021-11-17,0
42.98,45.06,42.45,44.965,4245181,ALE,2021-11-18,0
45.0,46.095,44.12,45.4,4209067,ALE,2021-11-19,0
45.5,46.15,42.95,43.085,2686352,ALE,2021-11-22,0
43.0,44.29,42.625,43.25,1765184,ALE,2021-11-23,0
43.56,43.77,40.37,40.37,3535366,ALE,2021-11-24,0
40.745,40.92,39.33,40.35,2132181,ALE,2021-11-25,0
39.5,43.12,39.0,42.0,6245426,ALE,2021-11-26,0
42.63,42.63,40.63,40.94,2754685,ALE,2021-11-29,0
40.52,41.695,39.81,39.995,3999630,ALE,2021-11-30,0
40.08,40.6,37.92,38.48,4141382,ALE,2021-12-01,0
38.245,38.245,36.055,36.385,5334331,ALE,2021-12-02,0
36.5,37.34,36.37,36.545,3618424,ALE,2021-12-03,0
36.54,37.0,34.525,34.725,6275085,ALE,2021-12-06,0
35.0,37.67,34.96,37.265,4647059,ALE,2021-12-07,0
37.65,38.8,37.41,37.975,2491227,ALE,2021-12-08,0
37.94,39.88,37.81,39.16,4258328,ALE,2021-12-09,0
38.845,38.845,37.56,38.0,1593265,ALE,2021-12-10,0
38.1,38.56,37.62,38.0,1981626,ALE,2021-12-13,0
38.435,38.46,36.485,36.485,2410495,ALE,2021-12-14,0
36.5,36.745,34.65,34.77,2755413,ALE,2021-12-15,0
35.3,38.115,35.3,37.25,3077300,ALE,2021-12-16,0
36.79,37.915,36.225,37.915,4946422,ALE,2021-12-17,0
37.5,39.445,36.985,39.225,2128895,ALE,2021-12-20,0
39.5,40.3,38.77,39.375,1850335,ALE,2021-12-21,0
39.5,41.36,39.04,41.35,2043342,ALE,2021-12-22,0
41.61,41.96,38.71,38.78,3061858,ALE,2021-12-23,0
38.78,41.0,38.3,40.4,1682120,ALE,2021-12-27,0
40.18,40.66,39.01,39.77,1556840,ALE,2021-12-28,0
39.77,40.33,39.21,39.8,817664,ALE,2021-12-29,0
39.56,39.95,38.54,38.86,1928301,ALE,2021-12-30,0
39.49,41.19,39.16,39.4,2551155,ALE,2022-01-03,0
39.8,40.0,38.41,38.78,1771635,ALE,2022-01-04,0
38.725,38.725,37.6,37.785,3245494,ALE,2022-01-05,0
37.0,40.25,36.5,39.365,6847709,ALE,2022-01-07,0
39.62,40.75,38.56,38.63,4917472,ALE,2022-01-10,0
39.44,40.98,39.055,40.83,5312022,ALE,2022-01-11,0
41.2,43.36,41.16,42.87,9013101,ALE,2022-01-12,0
42.9,44.4,42.12,44.0,7064033,ALE,2022-01-13,0
43.8,43.885,42.82,43.235,3859185,ALE,2022-01-14,0
43.38,43.45,42.1,42.3,3160498,ALE,2022-01-17,0
42.05,42.2,39.8,39.86,4677131,ALE,2022-01-18,0
39.25,40.64,38.855,40.2,3515320,ALE,2022-01-19,0
40.245,41.18,40.12,40.24,4451467,ALE,2022-01-20,0
39.455,39.96,38.42,39.0,3323055,ALE,2022-01-21,0
38.6,39.26,36.0,36.7,3950291,ALE,2022-01-24,0
37.35,38.36,37.005,37.855,2727029,ALE,2022-01-25,0
38.12,38.2,36.865,37.58,3831055,ALE,2022-01-26,0
36.9,37.5,36.11,36.4,3487458,ALE,2022-01-27,0
36.5,36.64,34.8,35.375,4691677,ALE,2022-01-28,0
36.3,37.71,35.9,37.6,4722606,ALE,2022-01-31,0
37.6,38.835,36.84,38.835,3225070,ALE,2022-02-01,0
39.2,39.2,38.32,38.52,1679270,ALE,2022-02-02,0
38.04,38.08,36.375,36.375,3357191,ALE,2022-02-03,0
36.785,37.73,35.175,35.175,3867938,ALE,2022-02-04,0
35.48,35.79,34.54,35.04,4066192,ALE,2022-02-07,0
35.1,35.2,32.93,33.66,4673932,ALE,2022-02-08,0
34.06,35.32,33.4,35.16,4047739,ALE,2022-02-09,0
36.0,36.0,33.91,34.8,2010815,ALE,2022-02-10,0
34.3,35.45,34.0,35.185,2168780,ALE,2022-02-11,0
34.11,35.095,33.1,34.945,3166737,ALE,2022-02-14,0
35.07,36.075,35.005,35.69,1664390,ALE,2022-02-15,0
36.0,36.195,34.06,34.325,3280367,ALE,2022-02-16,0
34.49,34.695,33.7,33.83,1507547,ALE,2022-02-17,0
33.7,34.07,32.65,32.65,2562474,ALE,2022-02-18,0
33.0,33.265,31.01,31.2,2417131,ALE,2022-02-21,0
30.2,32.89,29.685,32.75,3170282,ALE,2022-02-22,0
33.195,33.21,30.57,30.615,4763132,ALE,2022-02-23,0
27.0,28.235,24.435,26.4,13846493,ALE,2022-02-24,0
27.59,28.6,26.03,27.51,6358578,ALE,2022-02-25,0
26.5,31.48,26.12,31.365,5749619,ALE,2022-02-28,0
31.62,31.885,29.82,30.2,3853691,ALE,2022-03-01,0
29.6,31.005,29.11,29.255,3664184,ALE,2022-03-02,0
29.255,29.615,27.745,27.745,2768938,ALE,2022-03-03,0
27.6,27.7,26.105,26.305,3743742,ALE,2022-03-04,0
26.0,26.74,23.12,26.4,9955602,ALE,2022-03-07,0
26.0,27.48,25.32,26.195,3554768,ALE,2022-03-08,0
27.255,29.2,26.7,29.135,3957972,ALE,2022-03-09,0
29.95,30.3,28.51,29.23,3401448,ALE,2022-03-10,0
29.41,30.58,28.76,29.37,3232837,ALE,2022-03-11,0
29.25,29.675,28.36,29.24,2381598,ALE,2022-03-14,0
29.8,29.96,28.41,29.43,2522757,ALE,2022-03-15,0
30.97,32.2,30.12,30.895,4645894,ALE,2022-03-16,0
31.85,32.7,31.2,32.7,5821212,ALE,2022-03-17,0
32.94,33.15,31.945,32.43,4973978,ALE,2022-03-18,0
32.3,32.885,31.21,31.84,2714077,ALE,2022-03-21,0
31.72,33.18,31.225,32.89,4288085,ALE,2022-03-22,0
33.1,33.72,32.005,32.33,1822742,ALE,2022-03-23,0
32.53,33.7,31.835,33.405,2234954,ALE,2022-03-24,0
