index,open,high,low,close,volume,symbol,date,ta
562,49.7086,50.0267,48.8062,49.9766,688236.08445524,PKN,2021-02-12,0
564,50.7965,51.2147,50.177,50.4951,967963.151925,PKN,2021-02-15,0
566,50.8299,51.6831,50.5117,51.5153,1850660.412601,PKN,2021-02-16,0
568,51.5153,52.1005,50.7965,51.1304,1381407.8126341,PKN,2021-02-17,0
570,51.0803,51.4819,49.3581,49.3581,1534561.8502255,PKN,2021-02-18,0
572,49.6084,50.9467,49.5082,50.7464,1339215.285299,PKN,2021-02-19,0
574,50.4283,50.5618,49.6419,49.7763,834640.45570485,PKN,2021-02-22,0
576,50.0935,51.3817,49.1568,49.9433,1660535.1373687,PKN,2021-02-23,0
578,50.1937,50.4617,49.5417,50.1436,1764060.7481346,PKN,2021-02-24,0
580,51.0135,51.3983,50.0935,50.1102,1676119.3442285,PKN,2021-02-25,0
582,48.7218,49.7596,48.5883,49.2068,2356594.0521112,PKN,2021-02-26,0
584,50.177,50.5952,49.525,50.5117,1314019.2622322,PKN,2021-03-01,0
586,50.5117,51.147,49.9265,50.9301,1260763.9282019,PKN,2021-03-02,0
588,50.9467,51.6322,50.3281,50.3448,1424826.0001699,PKN,2021-03-03,0
590,50.177,51.6831,49.8431,51.4151,1940593.3720793,PKN,2021-03-04,0
592,51.0302,54.2752,51.0302,53.3219,3731460.4582147,PKN,2021-03-05,0
594,54.2752,56.3657,54.0239,55.7471,3923670.6076231,PKN,2021-03-08,0
596,55.7972,56.784,55.4458,56.0819,2443563.5768982,PKN,2021-03-09,0
598,56.7006,58.4395,56.299,58.0722,2867530.4792186,PKN,2021-03-10,0
600,58.2057,59.2927,56.4993,57.269,2205692.1793639,PKN,2021-03-11,0
602,57.2022,58.1056,56.3824,57.8042,1221608.8076223,PKN,2021-03-12,0
604,57.7875,58.7075,57.1355,57.1689,1012313.3874685,PKN,2021-03-15,0
606,57.219,57.7875,55.1953,55.5801,1700829.4277356,PKN,2021-03-16,0
608,55.1786,55.3288,52.2683,54.6435,3751881.3000354,PKN,2021-03-17,0
610,54.4422,55.5969,53.69,54.4756,1312645.6579033,PKN,2021-03-18,0
612,52.7867,54.1251,52.7533,53.2551,2351644.7520066,PKN,2021-03-19,0
614,52.6866,54.2752,52.4019,53.589,873406.36942415,PKN,2021-03-22,0
616,53.69,53.7401,52.1005,52.72,1072715.5609234,PKN,2021-03-23,0
618,52.1849,53.2551,51.85,52.5354,1297830.7605103,PKN,2021-03-24,0
620,52.4352,52.8368,51.4318,51.7666,1303180.6477929,PKN,2021-03-25,0
622,52.1681,53.5556,51.6831,52.72,1374548.8952437,PKN,2021-03-26,0
624,52.6866,54.7604,52.6866,53.6066,1236033.3601232,PKN,2021-03-29,0
626,53.8403,54.5257,53.1382,54.0073,1147535.4586886,PKN,2021-03-30,0
628,54.2586,54.3253,52.9871,53.0706,1352827.2831265,PKN,2021-03-31,0
630,53.104,53.9906,53.0872,53.69,1046692.1887704,PKN,2021-04-01,0
632,53.5389,55.5292,53.5389,55.3622,2159803.3248869,PKN,2021-04-06,0
634,55.5969,56.6838,55.3789,55.5292,2257101.6258868,PKN,2021-04-07,0
636,56.0986,56.132,53.9906,54.0239,1464485.2688172,PKN,2021-04-08,0
638,54.1083,54.6935,53.3553,54.0407,936683.21109337,PKN,2021-04-09,0
640,54.0073,54.5091,53.1216,54.1918,755317.3662831,PKN,2021-04-12,0
642,54.3087,54.3087,53.1382,53.1549,1069892.104138,PKN,2021-04-13,0
644,53.4387,54.8605,53.2718,54.8605,985412.59283206,PKN,2021-04-14,0
646,55.0951,56.5669,54.9774,56.3491,2371084.610454,PKN,2021-04-15,0
648,56.3491,56.6337,55.5125,56.1654,1162474.401543,PKN,2021-04-16,0
650,56.0318,56.5669,55.2788,55.4123,1181844.8400534,PKN,2021-04-19,0
652,55.5125,56.3824,55.1119,55.3622,1195143.8791481,PKN,2021-04-20,0
654,55.1285,55.6971,54.8605,55.5468,819236.05786242,PKN,2021-04-21,0
656,55.6136,56.5336,55.6136,55.9809,1625119.5891376,PKN,2021-04-22,0
658,55.8306,55.9308,54.9607,55.6136,1100379.9748678,PKN,2021-04-23,0
660,55.7638,55.9809,55.0274,55.8306,778266.91466448,PKN,2021-04-26,0
662,55.9641,56.0819,55.3789,55.9641,1311670.3646889,PKN,2021-04-27,0
664,56.1153,56.3324,55.4958,56.1654,1155606.3798986,PKN,2021-04-28,0
666,56.617,57.5872,56.4493,56.4493,1635951.3753864,PKN,2021-04-29,0
668,57.0687,57.0687,55.7805,55.7972,1071071.1050367,PKN,2021-04-30,0
670,56.1821,57.0521,55.6971,56.132,1853214.1558604,PKN,2021-05-04,0
672,56.5669,57.8376,56.3156,57.7541,1543730.9720796,PKN,2021-05-05,0
674,57.9544,59.3762,57.219,57.6205,2489583.305027,PKN,2021-05-06,0
676,58.5406,58.8745,57.9211,58.5572,1320872.4894638,PKN,2021-05-07,0
678,58.7909,60.631,58.7909,60.0291,1723104.123286,PKN,2021-05-10,0
680,59.979,60.4641,59.1592,60.3797,1469275.2444761,PKN,2021-05-11,0
682,60.3797,61.8524,59.4272,61.2163,2125504.185808,PKN,2021-05-12,0
684,60.631,62.2531,59.8278,61.8858,2377212.9114573,PKN,2021-05-13,0
686,62.5044,64.2776,62.3032,63.9429,1805672.8792744,PKN,2021-05-14,0
688,64.3946,65.1467,63.123,63.9429,1716648.0691371,PKN,2021-05-17,0
690,64.5114,64.8128,63.8092,64.2267,1236882.3318128,PKN,2021-05-18,0
692,63.8092,63.826,62.3542,62.8893,1876272.9552903,PKN,2021-05-19,0
694,62.8893,64.3611,62.5545,64.311,1027374.0997208,PKN,2021-05-20,0
696,64.3946,64.7961,63.5579,63.5579,915745.70285571,PKN,2021-05-21,0
698,63.5579,64.0263,63.1397,63.3076,800106.88208425,PKN,2021-05-24,0
700,63.9094,63.9094,62.7715,63.6248,1421477.9107452,PKN,2021-05-25,0
702,63.6581,64.1933,63.2232,64.1933,942867.27565275,PKN,2021-05-26,0
704,64.1265,65.833,63.6916,65.4648,2408062.6762854,PKN,2021-05-27,0
706,65.5316,66.8865,65.5316,66.8531,1174132.3988464,PKN,2021-05-28,0
